artist,keys_used
Asante,3
Averages,3
Brighter Green,3
Bruce Lecky Way,5
Calvin Eberts,4
Cameron Jericho,2
Carly Thomas,4
Chad Price,3
Charlie Weber,4
DIME,3
Daytrip,2
Esther's Family,2
FIRE AT FIVE,4
FK,2
Five Oceans,2
Fonzy,4
Fraser Teeple,3
Fun Fact,4
Genevieve Fisher,3
Hank's Dream,5
Heart Attack Kids,4
Hunter Gatherer,5
Ivory Hours,3
Jesney,7
Jessica Allossery,3
Julia Haggarty,2
Justin Maki,3
Justine Chantale,2
Kavara,4
Leanne Mayer,3
Lil TK,3
Lost Arts,4
Lost In Japan,4
Misha Bower,4
Mountain of Wolves,4
NASIUMM,4
Nimway,5
O'Haara,5
Para Palabras,3
Patrick James Clark,3
Roisin Gordon,4
Sarah Smith,3
Sarina Haggarty,3
Seaside Alibi,4
Single Mothers,4
Sneaker Club,4
Specks,3
Sum-01,3
Texas King,2
The Drew Thomson Foundation,3
The Pairs,3
UNBLOOM,2
Various Artists,7
Westminster Park,2
Whoop-Szo,7
Yeah Bud!!!,2
Yessica Woahneil,3
You'll Never Get to Heaven,4
Zachary Gray,4
sxxnt.,3
yungwillias,3
