,name,artist,loudness,max_loudness
0,Chandelier,Texas King,-8.477,-5.96
1,Only One,Texas King,-6.208,-4.876
2,Boomerang,Texas King,-6.843,-5.901
3,Flowers,Texas King,-7.006,-5.273
4,Greatest Mistake,Texas King,-5.106,-3.721
5,Circles,Texas King,-6.191,-5.033
6,All We Are,Texas King,-6.699,-5.488
7,Wake Up,Texas King,-5.801,-4.517
8,Tomorrow,Texas King,-7.488,-4.539
9,Baby,Texas King,-6.935,-5.282
10,Fake Answers,Lost In Japan,-7.552,-6.169
11,Never Was You,Lost In Japan,-7.347,-6.572
12,Ego,Lost In Japan,-5.948,-3.254
13,Don't Wanna Let Go,Lost In Japan,-5.493,-4.522
14,Animal,Lost In Japan,-10.77,-8.298
15,Message in the Stars,Lost In Japan,-6.961,-5.703
16,Good for Now,Lost In Japan,-8.104,-6.188
17,Orpheus,Lost In Japan,-9.383,-6.909
18,Wake Up,Lost In Japan,-9.813,-5.268
19,For Your Heart,Lost In Japan,-7.445,-5.862
23,The Devil You Know,Leanne Mayer,-6.328,-5.383
24,Renegade,Leanne Mayer,-6.167,-4.88
25,Whatever Will Be,Leanne Mayer,-7.05,-5.268
26,Afterglow,Leanne Mayer,-6.364,-3.25
27,See Through Lies,Leanne Mayer,-5.702,-3.166
28,Undertow,Leanne Mayer,-5.754,-4.287
30,Downfall,Roisin Gordon,-6.661,-5.619
31,Alicia,Roisin Gordon,-7.838,-5.531
32,Same Lies,Roisin Gordon,-8.874,-5.696
33,Happy Days,Roisin Gordon,-9.529,-8.194
34,Left Here,Roisin Gordon,-7.817,-5.096
35,Denial Wine,Roisin Gordon,-12.045,-11.231
36,Coffee Table,Roisin Gordon,-11.091,-9.29
37,Lose Each Other,Roisin Gordon,-10.562,-6.578
38,Didn't Feel Right,Roisin Gordon,-8.204,-5.425
39,Want You so Bad,Sarina Haggarty,-8.591,-6.154
40,Missing You,Sarina Haggarty,-8.451,-6.418
41,Drowning in Your Love,Sarina Haggarty,-10.143,-8.121
42,Meant to Be,Sarina Haggarty,-6.713,-5.442
44,Distracted,Sarina Haggarty,-6.783,-5.037
45,Obsessed,Sarina Haggarty,-6.797,-5.678
46,Distracted (Live),Sarina Haggarty,-6.573,-6.016
47,Pretend,Sarina Haggarty,-8.44,-6.246
48,Find a Way Back,Sarina Haggarty,-8.179,-7.574
49,Best Believe (feat. Connor Morand),Various Artists,-6.641,-3.857
53,Prove,NASIUMM,-8.964,-6.815
54,Double Cup,NASIUMM,-9.237,-8.07
55,40 on Me,NASIUMM,-13.911,-12.921
56,Static,NASIUMM,-11.613,-9.518
57,Lego,NASIUMM,-13.772,-12.456
58,Sponge Bobbin,NASIUMM,-11.806,-10.778
59,Scene,NASIUMM,-12.852,-11.254
60,Flag,NASIUMM,-18.046,-17.115
61,Rosé,NASIUMM,-12.679,-11.426
62,Zoom,NASIUMM,-18.111,-16.678
63,Swaggy B,Fonzy,-8.106,-7.202
64,Strobe Lights,Various Artists,-9.064,-7.87
65,Kultura,Fonzy,-6.306,-4.946
66,Giving Up,Fonzy,-6.486,-4.998
67,Idly,Fonzy,-10.806,-9.029
68,Sinulog SZN,Fonzy,-7.685,-6.369
